nombre,longitud,par,vocal,consonantes,espacios,puntos,palabras,clase
'Lisa Hellerstein',16,1,0,9,1,0,2,-
'Lorenza Saitta',14,1,0,7,1,0,2,-
'Maja Mataric',12,1,0,6,1,0,2,-
'Malini Bhandaru',15,0,0,8,1,0,2,-
'Mandayam T. Suraj',17,0,0,9,2,1,3,-
'Marcos Salganicoff',18,1,0,11,1,0,2,-
'Margo Guertin',13,0,0,7,1,0,2,-
'Mario Marchand',14,1,0,8,1,0,2,-
'Marko Grobelnik',15,0,0,9,1,0,2,-
'Mary Soon Lee',13,0,0,6,2,0,3,-
'Masayuki Inaba',14,1,0,6,1,0,2,-
'Matevz Kovacic',14,1,0,8,1,0,2,-
'Matthias Heger',14,1,0,8,1,0,2,-
'Melinda T. Gervasio',19,0,0,9,2,1,3,-
'Michael A. meystel',18,1,0,9,2,1,3,-
'Michael I. Jordan',17,0,0,8,2,1,3,-
'Michael J. Donahue',18,1,0,8,2,1,3,-
'Michael Kearns',14,1,0,8,1,0,2,-
'Michael Littman',15,0,0,9,1,0,2,-
'Michael Redmond',15,0,0,9,1,0,2,-
'Michael W. Barley',17,0,0,9,2,1,3,-
'Michael de la Maza',18,1,0,8,3,0,4,-
'Michele Sebag',13,0,0,7,1,0,2,-
'Minoru Asada',12,1,0,5,1,0,2,-
'Myriam Abramson',15,0,0,9,1,0,2,-
'Naoki Abe',9,0,0,3,1,0,2,-
'Nathalie Japkowicz',18,1,0,10,1,0,2,-
'Nicolas Fiechter',16,1,0,9,1,0,2,-
'Nicolo Cesa-Bianchi',19,0,0,10,1,0,2,-
'Nikolay Nikolaev',16,1,0,8,1,0,2,-
'Nitin Indurkhya',15,0,0,9,1,0,2,-
'Olivier De Vel',14,1,1,6,2,0,3,-
'Pascal Koiran',13,0,0,7,1,0,2,-
'Patricia J. Riddle',18,1,0,9,2,1,3,-
'Paul Vitanyi',12,1,0,6,1,0,2,-
'Prasad Tadepalli',16,1,0,9,1,0,2,-
'Priscilla Rasmussen',19,0,0,12,1,0,2,-
'Reinhard Blasig',15,0,0,9,1,0,2,-
'Ricard Gavalda',14,1,0,8,1,0,2,-
'Richard A. Caruana',18,1,0,8,2,1,3,-
'Robert Schapire',15,0,0,9,1,0,2,-
'Robert Williamson',17,0,0,10,1,0,2,-
'Roberto Piola',13,0,0,6,1,0,2,-
'Ronitt Rubinfeld',16,1,0,10,1,0,2,-
'Russell Greiner',15,0,0,9,1,0,2,-
'Sandra Panizza',14,1,0,8,1,0,2,-
'Satinder Pal Singh',18,1,0,11,2,0,3,-
'Scott E. Decatur',16,1,0,8,2,1,3,-
'Sebastian Seung',15,0,0,8,1,0,2,-
'Shai Ben-David',14,1,0,8,1,0,2,-
'Shaul Markovitch',16,1,0,10,1,0,2,-
'Sonya Snedecor',14,1,0,8,1,0,2,-
'Sreerama K. Murthy',18,1,0,10,2,1,3,-
'Sridhar Mahadevan',17,0,0,10,1,0,2,-
'Stephen Muggleton',17,0,0,11,1,0,2,-
'Steve A. Chien',14,1,0,6,2,1,3,-
'Susan L. Epstein',16,1,0,8,2,1,3,-
'Takefumi Yamazaki',17,0,0,8,1,0,2,-
'Tapio Elomaa',12,1,0,4,1,0,2,-
'Tatsuo Unemi',12,1,0,5,1,0,2,-
'Thomas E. Kammeyer',18,1,0,9,2,1,3,-
'Thomas G. Dietterich',20,1,0,11,2,1,3,-
'Thomas Wengerek',15,0,0,9,1,0,2,-
'Thomas Zeugmann',15,0,0,9,1,0,2,-
'Toshiyasu Matsushima',20,1,0,11,1,0,2,-
'Usama Fayyad',12,1,1,6,1,0,2,-
'Vijay Raghavan',14,1,0,8,1,0,2,-
'Wee Sun Lee',11,0,0,4,2,0,3,-
'William A. Greene',17,0,0,7,2,1,3,-
'William Cohen',13,0,0,7,1,0,2,-
'William Gasarch',15,0,0,9,1,0,2,-
'William Sakas',13,0,0,7,1,0,2,-
'Xuemei Wang',11,0,0,5,1,0,2,-
'Yishay Mansour',14,1,0,8,1,0,2,-
'Yoshifumi Sakai',15,0,0,7,1,0,2,-
'Alma Whitten',12,1,1,7,1,0,2,+
'Andrew Y. Ng',12,1,1,7,2,1,3,+
'Anselm Blumer',13,0,1,8,1,0,2,+
'Arun Sharma',11,0,1,6,1,0,2,+
'Avrim Blum',10,1,1,6,1,0,2,+
'Bill Byrne',10,1,0,7,1,0,2,+
'Bir Bhanu',9,0,0,5,1,0,2,+
'Bob Evans',9,0,0,5,1,0,2,+
'Brian Tester',12,1,0,7,1,0,2,+
'Carl H. Smith',13,0,0,8,2,1,3,+
'Charles X. Ling',15,0,0,9,2,1,3,+
'Chen K. Tham',12,1,0,7,2,1,3,+
'Chris Darken',12,1,0,8,1,0,2,+
'Chris Drummond',14,1,0,10,1,0,2,+
'Chun-Nan Hsu',12,1,0,8,1,0,2,+
'Craig Knoblock',14,1,0,9,1,0,2,+
'Cullen Schaffer',15,0,0,10,1,0,2,+
'Dan Oblinger',12,1,0,7,1,0,2,+
'Dan Roth',8,1,0,5,1,0,2,+
'Dana Ron',8,1,0,4,1,0,2,+
'David B. Skalak',15,0,0,8,2,1,3,+
'David Cohn',10,1,0,6,1,0,2,+
'David Finton',12,1,0,7,1,0,2,+
'David Gillman',13,0,0,8,1,0,2,+
'David Helmbold',14,1,0,9,1,0,2,+
'David W. Aha',12,1,0,5,2,1,3,+
'David W. Opitz',14,1,0,7,2,1,3,+
'Dennis F. Kibler',16,1,0,9,2,1,3,+
'Donna Slonim',12,1,0,7,1,0,2,+
'Drago Indjic',12,1,0,7,1,0,2,+
'Earl S. Harris Jr.',18,1,1,9,3,2,4,+
'Ed Pednault',11,0,1,6,1,0,2,+
'Eddy Mayoraz',12,1,1,7,1,0,2,+
'Efim Kinber',11,0,1,6,1,0,2,+
'Eric Baum',9,0,1,4,1,0,2,+
'Foster J. Provost',17,0,0,10,2,1,3,+
'Frank Stephan',13,0,0,9,1,0,2,+
'Gary M. Selzer',14,1,0,8,2,1,3,+
'Gary Weiss',10,1,0,6,1,0,2,+
'George Berg',11,0,0,6,1,0,2,+
'George H. John',14,1,0,7,2,1,3,+
'Gerald F. DeJong',16,1,0,9,2,1,3,+
'Hal Duncan',10,1,0,6,1,0,2,+
'Harris Drucker',14,1,0,9,1,0,2,+
'Haym Hirsh',10,1,0,7,1,0,2,+
'Holly Yanco',11,0,0,7,1,0,2,+
'Huw Roberts',11,0,0,7,1,0,2,+
'J. R. Quinlan',13,0,0,6,2,2,3,+
'James S. Royer',14,1,0,7,2,1,3,+
'Janusz Wnek',11,0,0,7,1,0,2,+
'Jason Catlett',13,0,0,8,1,0,2,+
'Javed Aslam',11,0,0,6,1,0,2,+
'Jeff Jackson',12,1,0,8,1,0,2,+
'Jiarong Hong',12,1,0,7,1,0,2,+
'Jing Peng',9,0,0,6,1,0,2,+
'Joel Ratsaby',12,1,0,7,1,0,2,+
'John Case',9,0,0,5,1,0,2,+
'John Fischer',12,1,0,8,1,0,2,+
'John M. Zelle',13,0,0,7,2,1,3,+
'John R. Rose',12,1,0,6,2,1,3,+
